Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","30552","","Official data"
"FBSH","Food Balances (old methodology and population)","3","Albania","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","3173","","Official data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","39208","","Official data"
"FBSH","Food Balances (old methodology and population)","7","Angola","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","21472","","Official data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","90","","Official data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","41446","","Official data"
"FBSH","Food Balances (old methodology and population)","1","Armenia","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","2977","","Official data"
"FBSH","Food Balances (old methodology and population)","10","Australia","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","23343","","Official data"
"FBSH","Food Balances (old methodology and population)","11","Austria","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","8495","","Official data"
"FBSH","Food Balances (old methodology and population)","52","Azerbaijan","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","9413","","Official data"
"FBSH","Food Balances (old methodology and population)","12","Bahamas","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","377","","Official data"
"FBSH","Food Balances (old methodology and population)","16","Bangladesh","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","156595","","Official data"
"FBSH","Food Balances (old methodology and population)","14","Barbados","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","285","","Official data"
"FBSH","Food Balances (old methodology and population)","57","Belarus","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","9357","","Official data"
"FBSH","Food Balances (old methodology and population)","255","Belgium","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","11104","","Official data"
"FBSH","Food Balances (old methodology and population)","23","Belize","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","332","","Official data"
"FBSH","Food Balances (old methodology and population)","53","Benin","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","10323","","Official data"
"FBSH","Food Balances (old methodology and population)","17","Bermuda","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","65","","Official data"
"FBSH","Food Balances (old methodology and population)","19","Bolivia (Plurinational State of)","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","10671","","Official data"
"FBSH","Food Balances (old methodology and population)","80","Bosnia and Herzegovina","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","3829","","Official data"
"FBSH","Food Balances (old methodology and population)","20","Botswana","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","2021","","Official data"
"FBSH","Food Balances (old methodology and population)","21","Brazil","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","200362","","Official data"
"FBSH","Food Balances (old methodology and population)","26","Brunei Darussalam","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","418","","Official data"
"FBSH","Food Balances (old methodology and population)","27","Bulgaria","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","7223","","Official data"
"FBSH","Food Balances (old methodology and population)","233","Burkina Faso","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","16935","","Official data"
"FBSH","Food Balances (old methodology and population)","35","Cabo Verde","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","499","","Official data"
"FBSH","Food Balances (old methodology and population)","115","Cambodia","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","15135","","Official data"
"FBSH","Food Balances (old methodology and population)","32","Cameroon","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","22254","","Official data"
"FBSH","Food Balances (old methodology and population)","33","Canada","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","35182","","Official data"
